query_id,query,model,score,cost,prompt_tokens,completion_tokens,total_tokens,prediction,ground_truth
1,What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate demand curve shifts to the right? Assume a Classical aggregate supply curve.,Claude Sonnet 4,1.0,0.005904,273,339,612,B,B
2,"The mass of the Earth is 5.97 × 10^24 kg. The Moon, whose center is 3.84 × 10^8 m from the Earth’s center, has mass 7.35 × 10^22 kg. Which of the following is the best estimate of the gravitational force of the Earth on the Moon?",Claude Sonnet 4,1.0,0.009669,228,599,827,B,B
3,How does asexual reproduction take place in the bryophytes ?In the lower vascular plants?,Claude Sonnet 4,1.0,0.006783,276,397,673,H,H
4,A noninterest-bearing note with a face value of $600 and a term of 30 days dated April 5 was discounted April 15 at a rate of 5%. What were the proceeds?,Claude Sonnet 4,1.0,0.006219,173,380,553,G,G
5,"Loretta Gould has been offered a position as salesperson for the Houston Oil Company. Her manager estimates that her sales will amount to approximately $80,000 the first year. She may accept one of two pay schedules: (1) a salary of $8,000 plus commission of 1% of sales or (2) a salary of $5,800 plus a commission of 5% of sales over $30,000. Which pay schedule is better? By how much is it better?",Claude Sonnet 4,1.0,0.005733,291,324,615,H,H
6,What are some of the theories which support a belief that aggression is necessary?,Claude Sonnet 4,0.0,0.006777,204,411,615,C,G
7,"The image produced by a concave mirror is at -16.2m, and the magnification is 1.79. What is the object distance in terms of meter?",Claude Sonnet 4,1.0,0.005733,166,349,515,B,B
8,Which term is usually associated with women in Hindu traditions?,Claude Sonnet 4,1.0,0.005139,128,317,445,H,H
9,"Government intervention in the economy not only effects the level of economic activity, but it can also result in the redistribution of resources (from rich to poor people, for example ). What school of economists hastraditionally supported government intervention for both of these reasons ?",Claude Sonnet 4,1.0,0.006186,192,374,566,G,G
10,"A previously healthy 27-year-old nulligravid woman comes to the emergency department because of a 2-day history of moderate-to-severe pain and swelling of the left labia. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening. Which of the following is the most appropriate next step in management?",Claude Sonnet 4,1.0,0.00759,330,440,770,B,B
11,Determine the drag force acting on a 10 ft × 100 ft smooth flatplate when it is pulled lengthwise on a still water surface witha velocity of 20 ft/s. Also calculate the drag force on the first10 ft length of the plate. For water \rho = 62.4 lb/ft^3 ;ѵ = 1.08 × 10^-5 ft^2/s.,Claude Sonnet 4,0.0,0.021885,410,1377,1787,E,J
12,"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
The conflict described above is most likely a result of which of the following doctrines?",Claude Sonnet 4,1.0,0.007929,348,459,807,B,B
13,"A graduate student’s dissertation chair, Dr. X, turns out to be of little help, and the student ends up obtaining advice and assistance from an associate professor, Dr. Z. Dr. X does review the dissertation when it is completed and she is listed as the dissertation chair. Several months later, the student decides to write an article for a professional journal that is based his dissertation research. In terms of publication credit:",Claude Sonnet 4,1.0,0.006288,356,348,704,H,H
14,Electron diffraction makes use of electrons with wavelengths comparable to bond lengths. To what speed must an electron be accelerated for it to have a wavelength of $100 \mathrm{pm}$ ?,Claude Sonnet 4,1.0,0.007296,457,395,852,F,F
15,An electric dipole consisting of charges of magnitude $1.50 \mathrm{nC}$ separated by $6.20 \mu \mathrm{m}$ is in an electric field of strength 1100 $\mathrm{N} / \mathrm{C}$. What is the magnitude of the electric dipole moment?,Claude Sonnet 4,1.0,0.00648,480,336,816,I,I
16,Who said that “Jurisprudence is the eye of law”,Claude Sonnet 4,1.0,0.004542,129,277,406,H,H
17,"At 90°C, benzene has a vapor pressure of 1022 Torr, and toluene has a vapor pressure of 406 Torr. From this information, calculate the composition of the benzene- toluene solution that will boil at 1 atm pressure and 90°C, assuming that the solution is ideal.",Claude Sonnet 4,1.0,0.009096,347,537,884,A,A
18,"Which of the given formulas of PL is the best symbolization of the following sentence?
Either England's importing beef is a sufficient condition for France's subsidizing agriculture or China's promoting human rights is a necessary condition for South Africa's supplying diamonds.",Claude Sonnet 4,1.0,0.006147,364,337,701,G,G
19,"If a ball is thrown into the air with a velocity of $40 \mathrm{ft} / \mathrm{s}$, its height in feet $t$ seconds later is given by $y=40 t-16 t^2$. Find the average velocity for the time period beginning when $t=2$ and lasting 0.5 second.",Claude Sonnet 4,1.0,0.007233,286,425,711,B,B
20,Fatty acids are transported into the mitochondria bound to:,Claude Sonnet 4,1.0,0.008016,147,505,652,A,A
21,Determine the humidity of the air if the wet-bulb temperature is70°F and dry-bulb temperature is 90°F.,Claude Sonnet 4,0.0,0.00933,240,574,814,H,I
22,The highest levels of learning and performance are usually associated with:,Claude Sonnet 4,1.0,0.006408,171,393,564,F,F
23,"Let {N(t), t=[0, \infty]} be a Poisson process with rate $\lambda = 0.5$. Find the probability of no arrivals in [3, 5)",Claude Sonnet 4,1.0,0.005748,176,348,524,H,H
24,"Assume all gases are perfect unless stated otherwise. Note that 1 atm = 1.013 25 bar. Unless otherwise stated, thermochemical data are for 298.15 K. Concerns over the harmful effects of chlorofluorocarbons on stratospheric ozone have motivated a search for new refrigerants. One such alternative is 2,2-dichloro-1,1,1-trifluoroethane (refrigerant 123). Younglove and McLinden published a compendium of thermophysical properties of this substance (J. Phys. Chem. Ref. Data 23, 7 (1994)), from which properties such as the Joule-Thomson coefficient $\mu$ can be computed. Compute the temperature change that would accompany adiabatic expansion of $2.0 \mathrm{~mol}$ of this refrigerant from $1.5 \mathrm{bar}$ to 0.5 bar at $50^{\circ} \mathrm{C}$.",Claude Sonnet 4,1.0,0.007812,464,428,892,H,H
25,The circle $2x^2 = -2y^2 + 12x - 4y + 20$ is inscribed inside a square which has a pair of sides parallel to the x-axis. What is the area of the square?,Claude Sonnet 4,1.0,0.009921,182,625,807,G,G
26,"George Mason bought a new grand piano for $8,650. He made a down payment of $1,000 and paid the balance in 20 equal monthly installments of $425. What rate of interest was he paying (to nearest 10th of 1%)?",Claude Sonnet 4,1.0,0.006489,198,393,591,A,A
27,A certain college graduate borrows $8000 to buy a car. The lender charges interest at an annual rate of 10%. What monthly payment rate is required to pay off the loan in 3 years?,Claude Sonnet 4,1.0,0.007701,177,478,655,C,C
28,"An excellent method of making alcohols is the reaction of an aldehydeon a Grignard reagent. If you perform this reaction, you must scrupulously dry thealdehydebefore adding it to the Grignard reagent. Why?",Claude Sonnet 4,0.0,0.007482,299,439,738,E,J
29,Lithopone white paint is made by heating a mixture ofBaS and ZnSO_4 according to the equation BaS + ZnSO_4 \ding{217} BaSO_4 +ZnS What is the weight ratio of products BaSO_4 andZnSin the paint ?,Claude Sonnet 4,1.0,0.006144,248,360,608,D,D
30,Kohler's studies with apes are seen as demonstrating,Claude Sonnet 4,1.0,0.005322,204,314,518,C,C
31,"Explain the ""other things equal"", or ceteris paribus assumption of economic analysis.",Claude Sonnet 4,1.0,0.006693,266,393,659,J,J
32,The superintendent of a large school district asks the school psychologist to predict students' grade point averages (GPAs) for the first year of high school. The school psychologist has included achievement and aptitude scores as predictor variables for firstyear high school GPA in a regression analysis and is considering whether to also administer a school interest inventory and include those scores. The major concern of the school psychologist when making this decision should be which of the following?,Claude Sonnet 4,1.0,0.007446,367,423,790,F,F
33,"An eager AP Biology student interested in studying osmosis and the movement of water in solutions took a dialysis bag containing a 0.5 M solution and placed it into a beaker containing a 0.6 M solution. If this bag were instead placed into a beaker of distilled water, what would be the expected result?",Claude Sonnet 4,1.0,0.006159,333,344,677,G,G
34,Chemical substances released by organisms that elicit a physiological or behavioral response in other members of the same species are known as,Claude Sonnet 4,1.0,0.005529,138,341,479,E,E
35,"A city ""flow control"" ordinance mandated that all solid waste that was within the limits of the town was to be transported to a local facility in the city for processing before it could be sent to other states for further disposal. A solid waste processor sued the city in federal court claiming that the ordinance discriminated based on local economic protectionism. The city responded that the ordinance did not discriminate because it does not differentiate solid waste due to geographic origin. All solid waste, regardless of origin, must be processed and made environmentally safe at the transfer station before it leaves town. Will the federal court rule that the flow control ordinance is a discriminatory law against the free flow of interstate commerce?",Claude Sonnet 4,0.0,0.008139,458,451,909,G,B
36,"The owner of a large unimproved tract of land leased it to a tenant for five years at a monthly rental of $1,500. The rental agreement provided that the land was to be used as farmland. Shortly after the tenant took possession of the tract of land, he built thereon, at his own expense, a barn made of lumber, which was 15 feet wide, 20 feet long, and set on loose bricks. The barn increased the appraised market value of the tract of land from $250,000 to $275,000. The tenant then began farming operations on the land. Toward the end of the lease period, the owner informed the tenant that he was going to put the tract of land up for sale. The next month, when the lease expired, the parties settled a dispute over the tenant's right, if any, to compensation for the improvements by the following written agreement:""On the sale of the tract of land, the owner hereby agrees to pay the tenant two-thirds of any sale proceeds in excess of $250,000, provided that tenant may remain on the farm for the next year, rent-free, while the owner tries to sell it. After that time, the tenant may remain on the land until closing of the sale, at a monthly rental of $1,000. ""The owner initially set the asking price at $300,000. After receiving scant interest, the owner decided to reduce the price to $260,000. This price reduction so infuriated the tenant that he thereafter made negative comments about the farm to all of the prospective buyers. Finally, 14 months after the agreement between the owner and the tenant was executed, and after rejecting offers for $240,000 and $250,000, the owner sold the tract of land for $256,000 to a buyer who visited the land while the tenant was away on vacation. Thereupon, the tenant, who had failed to pay the last two months rent as per the agreement, moved out. After closing, the owner refused to pay the tenant any of the sale proceeds, and the tenant brought suit to recover damages for breach of contract. Which of the following is the owner's most persuasive argument in defense of the tenant's suit?",Claude Sonnet 4,1.0,0.010131,852,505,1357,A,A
37,"What is meant by the term tonus, or tone?",Claude Sonnet 4,1.0,0.006222,294,356,650,F,F
38,"What is the determinant of the matrix A = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]?",Claude Sonnet 4,1.0,0.008589,148,543,691,A,A
39,On October 25 RalphMuffetaccepted a draft for $620 that was dated October 10 and due 3 months after sight. It was discounted on November 16 at 4 (1/2)%. The bank charges (1/8)% collection fee. Find the proceeds of the draft.,Claude Sonnet 4,1.0,0.006582,204,398,602,C,C
40,Examining data obtained from mass spectrometry supports which of the following?,Claude Sonnet 4,1.0,0.006549,163,404,567,J,J
41,Find the quotient of −40 ÷ (−8).,Claude Sonnet 4,1.0,0.003072,134,178,312,H,H
42,"The ""crowding-out"" effect refers to which of the following?",Claude Sonnet 4,1.0,0.006942,239,415,654,F,F
43,"""A 14-year old boy is arrested for the third time for shoplifting. His mother seems unconcerned and says """"he's just going through a phase."""" His father decides to go fishing on the day of the boy's court hearing, and his sister says she can't attend his court hearing because she has too much homework. From the perspective of structural family therapy, this family is best described as:""",Claude Sonnet 4,1.0,0.005952,219,353,572,C,C
44,Achieving effective change in a community is usually dependent on which of the following segments of society?,Claude Sonnet 4,0.0,0.006177,134,385,519,B,I
45,"Balloons come in packages of 8. If you need 42 balloons, how many packages should you buy?",Claude Sonnet 4,1.0,0.004263,136,257,393,C,C
46,Statement 1 |  Suppose ∑|a_i| diverges and ∑ a_i = 2. There is a rearrangement a_i_k of the terms such that ∑ a_i_k = 4. Statement 2 | There exists metric spaces X and Y with X closed and bounded and a continuous mapping f : X → Y such that f(X) is NOT “closed and bounded”.,Claude Sonnet 4,1.0,0.012891,227,814,1041,J,J
47,Show how to approximate the required work by a Riemann sum. Then express the work as an integral and evaluate it.  A cable that weighs $2 \mathrm{~lb} / \mathrm{ft}$ is used to lift $800 \mathrm{~lb}$ of coal up a mine shaft $500 \mathrm{~ft}$ deep. Find the work done.,Claude Sonnet 4,1.0,0.009651,332,577,909,F,F
48,The equation E = mc^2 indicates that energy,Claude Sonnet 4,1.0,0.007416,187,457,644,A,A
49,Star Co. is a retail store specializing in contemporary furniture. The following information is taken from Star's June budget: Sales $540000 Cost of goods sold 300000 Merchandise inventory‚ÄìJune 1 150000 Merchandise inventory‚ÄìJune 30 180000 Accounts payable for purchases‚ÄìJune 1 85000 Accounts payable for purchases‚ÄìJune 30 75000 What amount should Star budget for cash disbursements for June purchases?,Claude Sonnet 4,1.0,0.004167,254,227,481,D,D
50,What led Britain to impose new taxes on their American colonies?,Claude Sonnet 4,1.0,0.005505,135,340,475,B,B
51,"A number’s prime factors are 2, 5, 7, 13, and 31. Which of the following must be a factor of the number?",Claude Sonnet 4,1.0,0.009156,142,582,724,A,A
52,Lake Trust a simple trust reported the following items of income and expense during the year: Dividend income $2500 Taxable interest income 2000 Capital gains (allocable to corpus) 5000 Accounting fees (allocable to income) (500) Trustee fees (allocable to income) (750) What is Lake's distributable net income?,Claude Sonnet 4,1.0,0.005439,208,321,529,J,J
53,"A homeowner died in 1985. His will devised his estate in a southern state to his uncle and his best friend ""to share and share alike as tenants in common. ""At the time of the homeowner's death, the uncle lived in a different part of the southern state (in which the estate was located), while the best friend resided in a northern state. After the homeowner's funeral, the uncle returned to his own residence, but the best friend decided to occupy the estate. He put his name on the mailbox and has paid the taxes and maintenance expenses. To earn extra money, the best friend rented a small house on the property to a teacher and received a monthly rental payment from her. The best friend also grew fruits on the property and sold them at a stand on Fridays. The uncle has been generally aware of this, but because he cared little about the estate, the uncle has never pressed the best friend about the property. Since 1985 the uncle has not paid any rent or other compensation to the best friend, nor has the best friend requested such payment. In January 2010, a series of disputes arose between the uncle and the best friend for the first time concerning their respective rights to the estate. The state in which the property is located recognizes the usual common law types of cotenancies and follows majority rules on rents and profits. There is no applicable legislation on the subject. The uncle brings an appropriate action for a portion of the proceeds that the best friend received from his fruit stand and a portion of the rent that the teacher paid. If the best friend contests the apportionment of the monies he received, judgment should be for whom?",Claude Sonnet 4,1.0,0.008574,698,432,1130,G,G
54,"The extremes of temperature in New York, over a period of 50 years, differ by 116 Fahrenheit degrees. Express this 50 years, differ by 116 Fahrenheit degrees. Express this range range in Celsius degrees. in Celsius degrees.",Claude Sonnet 4,1.0,0.003762,219,207,426,H,H
55,"The standard E° for(1/2)F_2(g) + e^- \rightarrow F^-(aq), which is +2.87V, applies when the flouride ion concentration is 1M . What would the corresponding E be in 1M H_3O^+ , i.e., for the electrode reaction (1/2)F_2(g) + e^- + H_3O^+ \rightarrow HF(aq) +H_2O? (The K_diss of HF is 6.7 × 10^-4).",Claude Sonnet 4,1.0,0.013305,275,832,1107,A,A
56,How many states in the international system are likely to have nuclear weapons right now?,Claude Sonnet 4,1.0,0.004791,162,287,449,H,H
57,What animal represents the year 2000 on the Chinese calendar?,Claude Sonnet 4,1.0,0.004515,115,278,393,F,F
58,Define language. List and define its elements.,Claude Sonnet 4,1.0,0.006288,316,356,672,D,D
59,"If a plumber is paid $4.50 per hour for all time worked up to 40 hours, and 1(3/4) time for work m excess of 40 hours. What is his pay for a 50-hour work week?",Claude Sonnet 4,1.0,0.004623,186,271,457,D,D
60,"An owner of a large, three-story office building planned to renovate the building and requested several contractors to submit bids to perform the work. One of the contractors in turn sought bids from several subcontractors to determine the overall cost of the job. An electrician submitted a bid to do the electrical work to the contractor, which the contractor used in computing the bid he sent to the owner. The contractor notified the electrician to that effect. Two weeks later, the contractor submitted his bid to the owner, in which he offered to perform the renovation work for $75,000. The next day, the electrician notified the contractor that he was unable to perform the electrical work on the owner's project. Two days later, the owner sent the contractor a signed confirmation letter wherein she stated, ""I hereby accept your offer to perform the renovation work for the quoted cost of $75,000. ""Thereafter, the contractor hired another electrician to complete the electrical work at a cost of $5,000 above the first electrician's bid. The contractor explained the situation to the owner and informed her that the overall cost of the job would have to be increased to $80,000. The owner responded that she would hold the contractor to his original bid of $75,000 and would not be responsible for any additional costs. The contractor then performed the renovation work, but the owner has not yet paid him anything. In an action by the contractor against the owner for the services rendered, the contractor will probably be able to recover",Claude Sonnet 4,1.0,0.008145,615,420,1035,E,E
61,"5.3-9. Let $X_1, X_2$ be a random sample of size $n=2$ from a distribution with pdf $f(x)=3 x^2, 0 < x < 1$. Determine
(a) $P\left(\max X_i < 3 / 4\right)=P\left(X_1<3 / 4, X_2<3 / 4\right)$",Claude Sonnet 4,1.0,0.007599,308,445,753,E,E
62,Under which conditions will a real gas most closely behave as an ideal gas?,Claude Sonnet 4,1.0,0.005721,152,351,503,H,H
63,Which of the following is the best example of a trade discount?,Claude Sonnet 4,1.0,0.006495,255,382,637,D,D
64,"You receive a call from Mrs. Wang who is very upset because her 14-year-old daughter witnessed the assault of her best friend three days ago and is very distraught. The girl hasn’t slept, won’t eat, and can’t stop crying. You have limited experience working with adolescents and in providing crisis intervention services. However, there is no one else in the community who is more experienced than you are. As an ethical psychologist, you will:",Claude Sonnet 4,1.0,0.007272,339,417,756,A,A
65,"A researcher interested in examining the potential impact of parent alcoholism on child and family development recruits 12-year-olds (n = 100), 13-year-olds (n = 100), and 14-year-olds (n = 100)—half of whom have an alcoholic parent and half of whom do not—into a multiple-year longitudinal study assessing various outcomes. This study is best characterized as:",Claude Sonnet 4,1.0,0.005679,238,331,569,D,D
66,"It is known that a lab cart is moving east at 25 cm/s at time t1 = 0.10 s, and then moving east at 15 cm/s at t2 = 0.20 s. Is this enough information to determine the direction of the net force acting on the cart between t1 and t2?",Claude Sonnet 4,0.0,0.008736,382,506,888,J,G
67,Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,Claude Sonnet 4,1.0,0.005976,207,357,564,B,B
68,The +1 oxidation state is more stable than the +3 oxidation state for which group 13 element?,Claude Sonnet 4,1.0,0.007392,129,467,596,B,B
69,The model of light most supported by the photoelectric effect is the,Claude Sonnet 4,0.0,0.007614,128,482,610,C,F
70,What was the outcome before the European Court of Human Rights in the Al-Adsani case?,Claude Sonnet 4,0.0,0.006075,280,349,629,F,D
71,"If twosubculturalgroups have different mean IQ's (e.g., Blacks and whites) can it be concluded from that evidence that heredity is the most important and influential determinant of intelligence ?",Claude Sonnet 4,1.0,0.005673,186,341,527,E,E
